name,description,category,price,compare_at_price,quantity,moq,status,featured,seo_title,seo_description,keywords,low_stock_threshold,preorder_shipping,images,variant_color,variant_color_hex,variant_size,variant_price,variant_stock
"Lattafa Eclaire","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Lattafa,Eclaire",5,,01.png,,,,,
"L'Affair Tofy Milky Vanilla","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"L'Affair,Tofy,Milky Vanilla",5,,02.png,,,,,
"Ameerat Al Arab","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Ameerat Al Arab,Princess Arabia",5,,03.png,,,,,
"Lattafa Tharwah Gold","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Lattafa,Tharwah,Gold",5,,04.png,,,,,
"Lattafa Victoria","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Lattafa,Victoria",5,,05.png,,,,,
"Montera Instant Love","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Montera,Instant Love",5,,06.png,,,,,
"Maison Alhambra Exclusif Oud","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Maison Alhambra,Exclusif Oud",5,,07.png,,,,,
"L'Affair Pure Spirit","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"L'Affair,Pure Spirit",5,,08.png,,,,,
"Maison Alhambra Exclusif Rose","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Maison Alhambra,Exclusif Rose",5,,09.png,,,,,
"French Avenue Liquid Brun","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"French Avenue,Liquid Brun",5,,10.png,,,,,
"Lattafa Khamrah","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Lattafa,Khamrah",5,,11.png,,,,,
"Afnan Supremacy Collector's Edition","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Afnan,Supremacy,Collector's Edition",5,,12.png,,,,,
"Fragrance World Elysia Vanilla Sugar","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Fragrance World,Elysia,Vanilla Sugar",5,,13.png,,,,,
"Asdaaf Ameerat Al Arab Prive Rose","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Asdaaf,Ameerat Al Arab,Prive Rose",5,,14.png,,,,,
"Al Haramain Amber Oud","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Al Haramain,Amber Oud",5,,15.png,,,,,
"Afnan 9 PM Rebel","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Afnan,9 PM,Rebel",5,,16.png,,,,,
"Khadlaj Infini","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Khadlaj,Infini",5,,17.png,,,,,
